4/1/18,Texasstate_multi,Faculty,iphoneos,Web Module 4,Course Catalog
4/1/18,Texasstate_multi,Faculty,iphoneos,Web Module 8,Academic Calendar
4/1/18,Texasstate_multi,Faculty,iphoneos,Web Module 9,Work Life
4/1/18,Texasstate_multi,Faculty,iphoneos,layout.fe.user,layout.fe.user
4/1/18,Texasstate_multi,Faculty,iphoneos,layout.gr.user,layout.gr.user
4/1/18,Texasstate_multi,Faculty,iphoneos,layout.sb.default,layout.sb.default
4/1/18,Texasstate_multi,Faculty,iphoneos,layout.sb.user,layout.sb.user
4/1/18,Texasstate_multi,Future Students and Guests,android,App Module 1,BobcatMail
4/1/18,Texasstate_multi,Future Students and Guests,android,App Module 2,TRACS
4/1/18,Texasstate_multi,Future Students and Guests,android,AppOpen,AppOpen
4/1/18,Texasstate_multi,Future Students and Guests,android,Custom Module,Custom Module
4/1/18,Texasstate_multi,Future Students and Guests,android,Events Details,Events
4/1/18,Texasstate_multi,Future Students and Guests,android,Events Details,Events Details
4/1/18,Texasstate_multi,Future Students and Guests,android,Events List,Events
4/1/18,Texasstate_multi,Future Students and Guests,android,Events List,Events List
4/1/18,Texasstate_multi,Future Students and Guests,android,Home,Home
4/1/18,Texasstate_multi,Future Students and Guests,android,Image Details,Image Details
4/1/18,Texasstate_multi,Future Students and Guests,android,Image Details,Photos
4/1/18,Texasstate_multi,Future Students and Guests,android,Image List,Image List
4/1/18,Texasstate_multi,Future Students and Guests,android,Image List,Photos
4/1/18,Texasstate_multi,Future Students and Guests,android,Important Numbers Detail,Call Emergency
4/1/18,Texasstate_multi,Future Students and Guests,android,Important Numbers List,Call Emergency
4/1/18,Texasstate_multi,Future Students and Guests,android,Info,Info
4/1/18,Texasstate_multi,Future Students and Guests,android,Library,Library
4/1/18,Texasstate_multi,Future Students and Guests,android,Maps List,Maps List
4/1/18,Texasstate_multi,Future Students and Guests,android,Maps List,Shuttle and Maps
4/1/18,Texasstate_multi,Future Students and Guests,android,News Details,News
4/1/18,Texasstate_multi,Future Students and Guests,android,News List,News
4/1/18,Texasstate_multi,Future Students and Guests,android,NotificationManagement,NotificationManagement
4/1/18,Texasstate_multi,Future Students and Guests,android,Notifications,Notifications
4/1/18,Texasstate_multi,Future Students and Guests,android,Share,Info
4/1/18,Texasstate_multi,Future Students and Guests,android,Share,Share
4/1/18,Texasstate_multi,Future Students and Guests,android,Web Module 11,Campus Jobs
4/1/18,Texasstate_multi,Future Students and Guests,android,Web Module 12,Campus Recreation
4/1/18,Texasstate_multi,Future Students and Guests,android,Web Module 14,Athletics
4/1/18,Texasstate_multi,Future Students and Guests,android,Web Module 15,Tutorial
4/1/18,Texasstate_multi,Future Students and Guests,android,Web Module 16,Social Directory
4/1/18,Texasstate_multi,Future Students and Guests,android,Web Module 18,Visit Campus
4/1/18,Texasstate_multi,Future Students and Guests,android,Web Module 19,Campus Construction
4/1/18,Texasstate_multi,Future Students and Guests,android,Web Module 2,BobcatMail Help
4/1/18,Texasstate_multi,Future Students and Guests,android,Web Module 20,Traditions
4/1/18,Texasstate_multi,Future Students and Guests,android,Web Module 21,Emergency Info
4/1/18,Texasstate_multi,Future Students and Guests,android,Web Module 4,Course Catalog
4/1/18,Texasstate_multi,Future Students and Guests,android,Web Module 5,Future Students
4/1/18,Texasstate_multi,Future Students and Guests,android,Web Module 7,PACE Center
4/1/18,Texasstate_multi,Future Students and Guests,android,Web Module 8,Academic Calendar
4/1/18,Texasstate_multi,Future Students and Guests,android,Web Module 9,Work Life
4/1/18,Texasstate_multi,Future Students and Guests,android,layout.gr.default,layout.gr.default
4/1/18,Texasstate_multi,Future Students and Guests,iphoneos,AppClose,AppClose
4/1/18,Texasstate_multi,Future Students and Guests,iphoneos,AppOpen,AppOpen
4/1/18,Texasstate_multi,Future Students and Guests,iphoneos,AppResume,AppResume
4/1/18,Texasstate_multi,Future Students and Guests,iphoneos,AppSuspend,AppSuspend
4/1/18,Texasstate_multi,Future Students and Guests,iphoneos,Browser,Browser
4/1/18,Texasstate_multi,Future Students and Guests,iphoneos,Events Details,Events
4/1/18,Texasstate_multi,Future Students and Guests,iphoneos,Events Details,Events Details
4/1/18,Texasstate_multi,Future Students and Guests,iphoneos,Events List,Events
4/1/18,Texasstate_multi,Future Students and Guests,iphoneos,Events List,Events List
4/1/18,Texasstate_multi,Future Students and Guests,iphoneos,Feedback - Cancel,Feedback - Cancel
4/1/18,Texasstate_multi,Future Students and Guests,iphoneos,Home,Home
4/1/18,Texasstate_multi,Future Students and Guests,iphoneos,Image Details,Image Details
4/1/18,Texasstate_multi,Future Students and Guests,iphoneos,Image Details,Photos
4/1/18,Texasstate_multi,Future Students and Guests,iphoneos,Image List,Image List
4/1/18,Texasstate_multi,Future Students and Guests,iphoneos,Image List,Photos
4/1/18,Texasstate_multi,Future Students and Guests,iphoneos,Important Numbers Detail,Call Emergency
4/1/18,Texasstate_multi,Future Students and Guests,iphoneos,Important Numbers List,Call Emergency
4/1/18,Texasstate_multi,Future Students and Guests,iphoneos,Important Numbers List,Important Numbers List
4/1/18,Texasstate_multi,Future Students and Guests,iphoneos,Info,Info
4/1/18,Texasstate_multi,Future Students and Guests,iphoneos,Library,Library
4/1/18,Texasstate_multi,Future Students and Guests,iphoneos,Maps List,Maps List
4/1/18,Texasstate_multi,Future Students and Guests,iphoneos,Maps List,Shuttle and Maps
4/1/18,Texasstate_multi,Future Students and Guests,iphoneos,Notifications Detail,Notifications Detail
4/1/18,Texasstate_multi,Future Students and Guests,iphoneos,Notifications,Notifications
4/1/18,Texasstate_multi,Future Students and Guests,iphoneos,Support,Info
4/1/18,Texasstate_multi,Future Students and Guests,iphoneos,Video List,Video List
4/1/18,Texasstate_multi,Future Students and Guests,iphoneos,Video List,Videos
4/1/18,Texasstate_multi,Future Students and Guests,iphoneos,Web Module 14,Athletics
4/1/18,Texasstate_multi,Future Students and Guests,iphoneos,Web Module 15,Tutorial
4/1/18,Texasstate_multi,Future Students and Guests,iphoneos,Web Module 16,Social Directory
4/1/18,Texasstate_multi,Future Students and Guests,iphoneos,Web Module 18,Visit Campus
4/1/18,Texasstate_multi,Future Students and Guests,iphoneos,Web Module 20,Traditions
4/1/18,Texasstate_multi,Future Students and Guests,iphoneos,Web Module 21,Emergency Info
4/1/18,Texasstate_multi,Future Students and Guests,iphoneos,Web Module 4,Course Catalog
4/1/18,Texasstate_multi,Future Students and Guests,iphoneos,Web Module 5,Future Students
4/1/18,Texasstate_multi,Future Students and Guests,iphoneos,Web Module 7,PACE Center
4/1/18,Texasstate_multi,Future Students and Guests,iphoneos,Web Module 8,Academic Calendar
4/1/18,Texasstate_multi,Students,android,App Module 1,BobcatMail
4/1/18,Texasstate_multi,Students,android,App Module 2,TRACS
